관측소 번호,관측소 명,위도,경도
TW_0088,감천항,35.052,129.003
TW_0089,경포대해수욕장,37.808,128.931
TW_0095,고래불해수욕장,36.58,129.454
DT_0042,교본초,34.704,128.306
TW_0091,낙산해수욕장,38.122,128.65
KG_0025,남해동부,34.222,128.419
TW_0069,대천해수욕장,36.274,126.457
KG_0024,대한해협,34.919,129.121
TW_0094,망상해수욕장,37.616,129.103
DT_0041,복사초,34.098,126.168
TW_0079,상왕등도,35.652,126.194
TW_0081,생일도,34.258,126.96
TW_0093,속초해수욕장,38.198,128.631
TW_0090,송정해수욕장,35.164,129.219
IE_0061,신안가거초,33.941,124.592
IE_0062,옹진소청초,37.423,124.738
DT_0039,왕돌초,36.719,129.732
TW_0080,우이도,34.543,125.802
KG_0102,울릉도북서,37.742,130.601
IE_0060,이어도,32.122,125.182
TW_0092,임랑해수욕장,35.302,129.292
KG_0021,제주남부,32.09,126.965
KG_0028,제주해협,33.7,126.59
TW_0075,중문해수욕장,33.234,126.409
TW_0062,해운대해수욕장,35.148,129.17
